Title,Platform,sources,scores
World's Scariest Police Chases, Xbox 360,,
X-Blades, Wii,,
Yoostar 2: In The Movies, DS,,
#KILLALLZOMBIES, Xbox,,
A Game of Thrones: Genesis, Xbox,,
Active Soccer 2 DX, Xbox 360,,
Adam's Venture: Origins, PlayStation 3,,
Agatha Christie: The ABC Murders, PC,,
Aidyn Chronicles: The First Mage, PlayStation 2,,
Airplane Mode, Switch,,
Akaneiro: Demon Hunters, PlayStation 3,,
Alien Havoc, Xbox,,
American Conquest: Divided Nation, Xbox 360,,
Assassin's Creed Chronicles: Russia, PlayStation 2,,
Bakugan: Champions of Vestroia, PC,,
BattleBots: Beyond the BattleBox, Switch,,
B-Boy, Xbox,,
Bedlam: The Game by Christopher Brookmyre, Switch,,
Bit Boy!! Arcade, PlayStation 2,,
Black Clover: Quartet Knights, Wii U,,
Blade & Sword, PlayStation 2,,
Blades of Time, DS,,
Blok Drop U, GameCube,,
Bodycount, Game Boy Advance,,
Bound by Flame, PlayStation 3,,
Brain Assist, PC,,
Britney's Dance Beat, PlayStation 4,,
Bust-A-Move Bash!, PlayStation,,
Carmen Sandiego: The Secret of the Stolen Drums, PlayStation,,
Carmen Sandiego: The Secret of the Stolen Drums, Xbox 360,,
Castle of Heart, PC,,
Classic NES Series: Pac-Man, Nintendo 64,,
Cloudpunk, Wii,,
Conspiracies, DS,,
Crime Lab: Body of Evidence, Dreamcast,,
Cruis'n Velocity, Xbox One,,
Curious George, PlayStation 3,,
Cy Girls, Wii,,
Dakar 18, Xbox,,
Dark Angel: Vampire Apocalypse, PC,,
Dash of Destruction, PC,,
Daymare: 1998, Wii,,
Dead or Alive Xtreme 2, PlayStation 2,,
Deadfall Adventures, Xbox One,,
Death Track: Resurrection, GameCube,,
Destroy All Humans! Big Willy Unleashed, Xbox 360,,
Doctor Lautrec and the Forgotten Knights, PC,,
Doodle God: Ultimate Edition, PSP,,
Dragon Ball Z: Battle of Z, PlayStation 4,,
Dragon Ball Z: The Legacy of Goku, PlayStation 2,,
Dreamcast Collection, PlayStation 5,,
Dungeon Fighter Live: Fall of Hendon Myre, Switch,,
Dungeons & Dragons: Dark Alliance, Xbox 360,,
Eat Lead: The Return of Matt Hazard, DS,,
Ecco the Dolphin, PlayStation 2,,
Elemental: War of Magic, PlayStation 2,,
EyeToy: Operation Spy, PC,,
Fable II Pub Games, PlayStation,,
FaceBreaker, PlayStation 4,,
Fairytale Fights, PC,,
Fallout 76, Xbox 360,,
Family Guy, DS,,
Five Nights at Freddy's: Help Wanted, Xbox One,,
Flip Wars, Xbox,,
Food Network: Cook or Be Cooked, Xbox,,
Friday the 13th: The Game, PlayStation Vita,,
Full Auto 2: Battlelines, DS,,
Game of Thrones, Switch,,
Goat Simulator, 3DS,,
Godzilla: Domination!, DS,,
"Great Invasions: The Darkages ""350-1066 AD""", Xbox 360,,
Grimshade, PlayStation 4,,
Halo: Spartan Assault, Game Boy Advance,,
Hover, Xbox 360,,
HSX HyperSonic.Xtreme, PC,,
Hyperdimension Neptunia mk2, PC,,
Hysteria Hospital: Emergency Ward, PC,,
Ice Cream Surfer, PlayStation 2,,
Inversion, DS,,
Iridion 3D, Xbox 360,,
James Patterson Women's Murder Club: Games of Passion, Wii,,
Kill Strain, PlayStation 3,,
"Knight's Apprentice, Memorick's Adventures", PSP,,
Knights of the Temple II, PlayStation 4,,
Lair, PC,,
Law & Order: Legacies, Nintendo 64,,
Legends of Might and Magic, Xbox,,
Little Friends: Dogs & Cats, PlayStation 4,,
Loading Human: Chapter 1, PlayStation 2,,
Lord of Arcana, 3DS,,
Marvel Nemesis: Rise of the Imperfects, Xbox One,,
Minecraft: Story Mode - Episode 2: Assembly Required, DS,,
Minority Report: Everybody Runs, PC,,
Monopoly for Nintendo Switch, PC,,
Namco Museum Megamix, PC,,
Natural Doctrine, Wii,,
NBA Live 15, PC,,
NBA ShootOut 2002, PC,,
NBA Starting Five, PC,,
NCAA GameBreaker 2003, Wii,,
NFL Quarterback Club 2002, Xbox 360,,
Nicktoons Unite!, Switch,,
Nicktoons Unite!, PC,,
Obscure: The Aftermath, PlayStation 4,,
Oure, Xbox,,
Pac-Man All-Stars, Game Boy Advance,,
Painkiller: Hell & Damnation, PlayStation 2,,
Phantaruk, PlayStation 4,,
Pirates: The Key of Dreams, PlayStation 2,,
Pixel Piracy, Xbox 360,,
Planar Conquest, Xbox 360,,
Planet 51, PC,,
Pokemon Battle Revolution, PC,,
Portal Runner, Wii U,,
Professor Heinz Wolff's Gravity, Xbox One,,
Purge, Wii,,
Rabbids Invasion, Xbox 360,,
Ragnarok DS, Wii U,,
Rainbow Islands: Towering Adventure!, Switch,,
Red Goddess: Inner World, Xbox,,
Rune: Viking Warlord, Wii,,
Samurai Warriors 2 Empires, PlayStation 4,,
Scene It? Bright Lights! Big Screen!, Xbox,,
Shadwen, PlayStation 3,,
SimAnimals Africa, Xbox 360,,
Sniper: Ghost Warrior, PSP,,
Solar Shifter EX, Wii,,
Space Trader - Merchant Marine, PlayStation 4,,
Spare Parts, PlayStation 2,,
Spider-Man 3, Switch,,
Spy vs. Spy, PC,,
Stranger Things 3: The Game, Wii,,
Super Dungeon Bros, Xbox 360,,
Super Monkey Ball Adventure, PC,,
SX Superstar, PC,,
Sydney 2000, PSP,,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare, Wii,,
Tetris Splash, PlayStation 3,,
Tetris Worlds, PC,,
The Adventures of Darwin, PC,,
The Assembly, PSP,,
The Chosen - Well of Souls, DS,,
The Da Vinci Code, Switch,,
The Game of Life 2, Xbox 360,,
The History Channel: Civil War - A Nation Divided, PC,,
The Terminator: Dawn of Fate, GameCube,,
The Three Musketeers: One for All!, PlayStation 3,,
The Three Stooges, PlayStation 4,,
The Witch and the Hundred Knight, Xbox 360,,
Tom Clancy's Splinter Cell 3D, PlayStation 3,,
Tony Hawk: Shred, Xbox,,
Top Angler, PC,,
Toribash: Violence Perfected, Xbox 360,,
Tour de France 2014, PlayStation 2,,
Transformers: Revenge of the Fallen, Switch,,
Transformers: The Game, PlayStation 4,,
Two Thrones, Xbox 360,,
Valhalla Knights, PlayStation 3,,
Virtua Quest, Xbox 360,,
War Times, Xbox 360,,
WarioWare: Snapped!, PC,,
Warpath, Switch,,
Windforge, PlayStation 4,,
