Name,Platform,Sources,Scores
Gothic 3, PC,"PC Zone UK,Computer Games Online RO,Pelit (Finland),Jolt Online Gaming UK,Eurogamer,AceGamez,Games Master UK,PC Gamer,ActionTrip,GameWatcher,GameZone,GameSpot,Gamer's Hell,Digital Entertainment News,PC Gamer UK,Gamers Europe,Computer Games Magazine,Game Chronicles,PC Gameworld,GamingExcellence,PC Format,GamerNode,AtomicGamer,VideoGamer,GamesRadar+,PALGN,Yahoo!,G4 TV,Gamers' Temple,Gaming Nexus,1UP,Game Informer,IGN,Worth Playing,VGPub,games(TM),GameSpy,Game Revolution,RewiredMind","85,85,85,81,80,80,80,80,79,78,77,76,75,72,71,70,70,69,68,66,65,65,61,60,60,60,60,60,54,51,50,50,49,45,42,40,30,25,20"
Fat Princess Adventures, PlayStation 4,"Gaming Age,Worth Playing,XGN,NZGamer,Hardcore Gamer,Hobby Consolas,Gamer.nl,Critical Hit,IGN Spain,Vandal,Digitally Downloaded,PlaySense,Gameblog.fr,Multiplayer.it,PlayStation Universe,Digital Chumps,Push Square,God is a Geek,3DJuegos,Destructoid,Gamers' Temple,PlayStation LifeStyle,Attack of the Fanboy,Eurogamer Italy,Metro GameCentral,PLAY! Zine,Everyeye.it,CD-Action,Playstation Official Magazine UK,DarkStation,GameOver.gr,GameSpot,TheSixthAxis,IGN Italia,GamesRadar+,Games Master UK","83,80,80,80,80,76,75,75,75,75,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,55,55,50,50,50,50,50,50,50,50,39"
Citizens of Space, PlayStation 4,"PlayStation Universe,GameCrate,Hardcore Gamer,RPG Fan,COGconnected,PlayStation LifeStyle,Cubed3,RPGamer,Twinfinite","80,73,70,65,65,65,50,50,50"
Republique: Episode 4 - God's Acre, PC,"Game Revolution,SpazioGames,COGconnected,GameCritics,The Escapist,Examiner,Everyeye.it,Digital Chumps","80,65,65,60,60,60,60,58"
Pac-Man World 3," PlayStation 2, PSP, PC","BonusStage,Pelit (Finland),GamePro,AceGamez,Gamer's Hell,eToychest,Worth Playing,IGN,GameSpot,Cheat Code Central,TotalPlayStation,Game Informer,GameSpy,DarkStation,Official U.S. Playstation Magazine,Games Master UK,VideoGamer,PSM Magazine,G4 TV,Computer and Video Games,Official Playstation 2 Magazine UK,Eurogamer,Game Chronicles,VGPub,eToychest,GameZone,IGN,PSM2 Magazine UK,Official Playstation 2 Magazine UK,Official U.S. Playstation Magazine,PSM Magazine,","83,81,80,80,75,70,70,69,69,66,65,63,60,60,60,59,50,45,40,40,40,40,82,78,70,70,69,61,60,50,30,"
Cradle of Rome, DS,"Armchair Empire,Official Nintendo Magazine UK,GamingExcellence,Gamervision,Cynamite,GameZone,Games Master UK,GamingTrend,Nintendo Gamer,Cheat Code Central,Game Informer,AceGamez,Modojo,Thunderbolt,NintendoWorldReport,IGN,Gamers' Temple,Gaming Age,My Gamer,Pocket Gamer UK","85,81,80,73,70,70,70,69,63,60,60,60,60,60,60,59,58,50,44,40"
Ty the Tasmanian Tiger 2: Bush Rescue, Game Boy Advance,"PGNx Media,Nintendojo,GamerFeed,Worth Playing,Game Informer,Gaming Age,Nintendo Power","82,70,70,65,60,58,54"
Digimon Rumble Arena 2, PlayStation 2,"AceGamez,WHAM! Gaming,eToychest,IGN,Cheat Code Central,Official U.S. Playstation Magazine,PSM Magazine,Gaming Age,GamerArchive","80,80,70,70,60,60,60,50,40"
Batman: Rise of Sin Tzu," GameCube, Game Boy Advance, PlayStation 2","Game Chronicles,GameSpot,GameZone,NintendoWorldReport,Nintendo Power,GamingTrend,IGN,Next Level Gaming,Gamenikki,Nintendojo,Nintendophiles,GamingWorld X,Play Magazine,Electronic Gaming Monthly,Game Informer,GamerFeed,Gamer's Pulse,Next Level Gaming,Game Informer,Gamenikki,GameZone,GamingTrend,Nintendo Power,Nintendojo,GameSpy,Game Chronicles,IGN,GamingWorld X,Worth Playing,","77,75,70,70,68,68,65,65,65,62,62,60,58,55,50,40,36,80,70,70,69,69,68,67,60,60,55,50,45,"
Wallace & Gromit in Project Zoo, Xbox,"Official Xbox Magazine,Game Chronicles,IGN,Play Magazine,TeamXbox,GameSpot,Electronic Gaming Monthly,Xbox Nation Magazine,GameNow","75,69,67,67,66,65,58,50,50"
Robin Hood: Defender of the Crown," PC, PlayStation 2, Xbox","IGN,AceGamez,PC Gameworld,GameSpot,Gaming Age,ActionTrip,Yahoo!,GameNow,IGN,Cheat Code Central,TotalPlayStation,Game Over Online,Deeko,GameZone,GameSpot,PSM Magazine,GameSpy,Gaming Age,Play Magazine,Game Informer,Yahoo!,Official U.S. Playstation Magazine,Electronic Gaming Monthly,G4 TV,Game Revolution,IGN,Game Informer,Game Over Online,GameSpot,GameSpy,Adrenaline Vault,Gaming Age,Official Xbox Magazine,TeamXbox,Yahoo!,Electronic Gaming Monthly,Xbox Nation Magazine,TotalGames.net","71,70,70,60,58,55,50,83,71,70,70,67,65,65,60,60,60,58,58,53,50,50,45,40,25,71,68,67,60,60,60,58,57,52,50,45,40,20"
Furious Karting, Xbox,"Cheat Code Central,Play Magazine,GameShark,Electronic Gaming Monthly,GamePro,Official Xbox Magazine,GameSpy,Village Voice,IGN,Game Informer,G4 TV,Armchair Empire,Xbox Nation Magazine,TotalGames.net,Gamer's Pulse,Cinescape,Game Revolution","80,80,74,70,70,69,65,60,60,60,60,59,50,50,50,50,42"
