Name,Platform,Sources,Scores
Grandia Xtreme, PlayStation 2,"GameZone,GamerWeb Sony,Game Informer,IGN,PSX Nation,Electronic Gaming Monthly,GamePro,Official U.S. Playstation Magazine,eToychest,Armchair Empire,GameSpy,GameNow,GameSpot,PSM Magazine,Play Magazine,GameCritics","82,80,75,75,70,70,70,70,70,69,68,67,62,60,50,45"
Sudden Strike II, PC,"ActionTrip,IGN,Computer Games Magazine,PC Gamer,Total Video Games,Yahoo!,Gamers' Temple,GameSpy,GameSpot,Computer Gaming World","84,80,80,70,70,70,64,60,52,50"
Capcom vs. SNK 2 EO, GameCube,"Gamer's Pulse,TotalGames.net,Gamestyle,Game Informer,GameSpy,Nintendo Power,netjak,GameCube Europe,GamerWeb Nintendo,Play Magazine,GamePen,Nintendojo,Gaming Age,Cinescape,IGN,GameZone,Nintendophiles,GamePro,Game Revolution,GameSpot","94,90,80,75,74,72,72,71,70,70,70,68,67,67,66,66,65,60,58,54"
WWF Raw, Xbox,"Electric Playground,IGN,Operation Sports,Xbox Exclusive,GamerWeb Xbox,GameSpy,Hot Games,Total Video Games,GameZone,Game Over Online,Games Radar,GamePro,Adrenaline Vault,Media and Games Online Network,TeamXbox,GameSpot,GameShark,Game Informer,Cloudchaser,Sports Gaming Network,Electronic Gaming Monthly,G4 TV,GamePen,Core Magazine,Cinescape,Official Xbox Magazine,GamingTrend,All Game Guide,Game Revolution,Gaming Age,Xbox Nation Magazine,Gamestyle,Play Magazine","95,91,91,85,85,85,80,80,78,73,72,70,70,70,68,65,65,65,65,65,60,60,60,58,58,57,55,50,50,50,50,50,40"
Zoo Tycoon (2001), PC,"Computer Games Magazine,Media and Games Online Network,GameZone,Game Over Online,Electric Playground,Game Informer,Gamezilla!,GameSpot,Yahoo!,Computer Gaming World,IGN,GameSpy,TotalGames.net,All Game Guide,Next Generation Magazine,ActionTrip,PC Gamer,Adrenaline Vault","90,80,80,78,75,75,72,71,70,70,69,67,66,60,60,57,48,40"
Chicken Run, Dreamcast,"GamerWeb Sega,Hot Games,Happy Puppy,Daily Radar,Games Radar,Da Gameboyz,IGN,DC Swirl,GameSpot,CNET Gamecenter","80,80,75,75,75,73,72,70,52,40"
The Wizard of Oz: Beyond the Yellow Brick Road, DS,"RPG Fan,IGN,Play Magazine,NintendoWorldReport,AtomicGamer,Da Gameboyz,Digital Chumps,ZTGD,Worth Playing,RPGamer,Hardcore Gamer,Nintendo Power,1UP,GameSpot,GamePro,Kombo,Game Revolution,Thunderbolt","85,80,80,80,78,78,76,75,75,70,70,65,58,55,50,50,50,40"
JETT: The Far Shore," PlayStation 5, PC","Inverse,PLAY,Edge Magazine,GamingBolt,God is a Geek,Hey Poor Player,Vandal,Noisy Pixel,IGN France,IGN Italia,SpazioGames,Screen Rant,Wccftech,Player 2,PlayStation Universe,Press Start Australia,Everyeye.it,COGconnected,The Indie Game Website,NME,Push Square,GamesRadar+,Eurogamer Italy,WellPlayed,Gamer.nl,Slant Magazine,GameSpot,","90,80,80,80,80,80,78,75,70,70,70,70,70,67,65,65,63,62,60,60,60,60,60,55,50,50,50,"
Solstice Chronicles: MIA, PC,"COGconnected,GamingTrend,GameCritics,Hooked Gamers,The Overpowered Noobs,Softpedia,Gaming Nexus,SpazioGames,Wccftech,Critical Hit,GameSpew,ZTGD","81,80,80,75,70,65,65,65,65,65,60,40"
Fledgling Heroes, Switch,"Player 2,GameSpace,Switch Player,Nintendo Life,The Indie Game Website,Finger Guns,Pure Nintendo","83,80,80,70,70,50,40"
Men of War: Vietnam, PC,"Game Chronicles,Pelit (Finland),Multiplayer.it,Da Gameboyz,GameStar,Cheat Code Central,PC Gamer UK,Vandal,GamingXP,GameWatcher,IGN,CD-Action,LEVEL (Czech Republic),Gamer.nl,Games.cz,GameSpot,Gamer.no,GRYOnline.pl,IncGamers","86,84,79,75,75,74,73,70,70,70,70,65,60,60,60,55,50,40,40"
Lapis x Labyrinth, Switch,"Switch Player,Cubed3,Nintendo Life,SpazioGames,Nintenderos,RPGamer,GameSpew,Vandal,NintendoWorldReport,Destructoid,Pure Nintendo,Digitally Downloaded,Gameblog.fr","80,80,80,74,72,70,70,70,70,70,65,60,40"
