name,platform,sources,scores
Naruto Shippuden: Ultimate Ninja Storm 4, PlayStation 4,"IGN Spain,Gaming Age,PLAY! Zine,NZGamer,GameOver.gr,The Escapist,Brash Games,Softpedia,Twinfinite,Game Revolution,JeuxActu,IGN Italia,God is a Geek,Eurogamer Italy,Hobby Consolas,Digital Chumps,LaPS4,LevelUp,PlayStation Universe,XGN,GameGrin,Vandal,Multiplayer.it,3DJuegos,Meristation,Power Unlimited,Atomix,CD-Action,Play UK,PlaySense,Impulsegamer,Digitally Downloaded,The Games Machine,Examiner,EGM,PlayStation LifeStyle,Merlin'in Kazanı (Turkey),SpazioGames,Gameblog.fr,Everyeye.it,Attack of the Fanboy,TheSixthAxis,Destructoid,Push Square,IGN Denmark,InsideGamer.nl,Worth Playing,Playstation Official Magazine UK,GameSpew,Playstation Official Magazine Australia,CGMagazine,GameSpot,Games.cz,Critical Hit,Wccftech,Metro GameCentral,Hardcore Gamer,Gamer.no,IGN,IGN Sweden","92,91,90,90,90,90,90,90,90,90,90,90,90,90,88,88,88,86,85,85,85,85,85,85,85,84,83,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,75,75,70,70,70,70,70,70,70,70,70,70,60,60,55,50"
FIFA 20, Xbox One,"Generación Xbox,God is a Geek,Vandal,MondoXbox,Digital Chumps,SomosXbox,Cubed3,Eurogamer Italy,TheXboxHub,Xbox Achievements,Game Rant,Cheat Code Central,Attack of the Fanboy,IGN,Official Xbox Magazine UK,Jeuxvideo.com,Gameblog.fr,Daily Star","95,90,90,88,85,85,80,80,80,80,80,80,80,78,70,70,70,60"
Just Dance 2014, Xbox 360,"MondoXbox,Official Xbox Magazine,4Players.de,X-ONE Magazine UK,GamingTrend,USgamer,Vandal,EGM,Hardcore Gamer,GamesRadar+,Digital Spy,LevelUp,3DJuegos,IGN,JeuxActu,GameSpot","85,85,82,80,80,80,80,80,80,80,80,78,75,75,75,70"
Retro City Rampage, PlayStation Vita,"Gaming Age,Pocket Gamer UK,Push Square,Game Revolution,Gamer Limit,Gaming Nexus,Cheat Code Central,Digital Chumps,Joystiq,Gamestyle,Playstation: The Official Magazine (US),Game Informer,ZTGD,G4 TV","100,90,90,90,90,89,84,80,80,70,70,70,60,60"
Fire Pro Wrestling World, PlayStation 4,"Gaming Nexus,ZTGD,EGM,God is a Geek,PlayStation LifeStyle,Cubed3,The Games Machine,Gameblog.fr,PlayStation Country,GameSpew,Atomix,DualShockers,We Got This Covered,Hardcore Gamer,Eurogamer Italy,Everyeye.it,Destructoid,Push Square,Multiplayer.it","90,90,90,85,85,80,80,80,80,80,80,80,80,80,70,70,70,70,68"
Call of Duty: Warzone, PlayStation 4,"Digital Trends,DualShockers,PlayStation LifeStyle,GameCritics,JeuxActu,Jeuxvideo.com,BaziCenter,Multiplayer.it,SpazioGames,4Players.de,GameGrin,Trusted Reviews,IGN,GameSpot,Shacknews","90,90,90,85,85,85,85,85,83,81,70,70,70,70,70"
King Arthur: The Role-Playing Wargame, PC,"My Gamer,Cheat Code Central,PC Gamer,Gamers.at,GameStar,HellBored,AceGamez,Impulsegamer,GameWatcher,ZTGD,Eurogamer Portugal,Absolute Games,Computer Games Online RO,Eurogamer Italy,Eurogamer Spain,PC Zone UK,SpazioGames,Multiplayer.it,Vandal,GameZone,GameShark,PC PowerPlay,Eurogamer","92,86,86,83,82,81,81,80,80,80,80,80,80,80,80,79,78,78,78,75,75,70,70"
Toki Tori, Wii,"N-Europe,Nintendo Life,NintendoWorldReport,NZGamer,Games Master UK,GamingXP,IGN,Jolt Online Gaming UK,Nintendo Gamer,n-Revolution Magazine UK,games(TM),Nintendojo,Cheat Code Central,PALGN,GameSpot,Official Nintendo Magazine UK,Eurogamer,Gamer.nl,Level7.nu,PTGamers","90,90,85,84,83,82,80,80,80,80,80,80,78,75,75,72,70,70,70,70"
Rock of Ages 2: Bigger & Boulder, PlayStation 4,"Gaming Age,Digitally Downloaded,COGconnected,Everyeye.it,DarkStation,3DJuegos,PlayStation LifeStyle,Hardcore Gamer,Video Chums,The Games Machine,Destructoid,Push Square,God is a Geek,NZGamer","91,90,89,82,80,80,80,80,79,78,75,70,70,65"
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution, Switch,"The Digital Fix,DualShockers,NintendoWorldReport,GamingTrend,COGconnected,Vooks,Hardcore Gamer,Jeuxvideo.com,Nintenderos,Cubed3,Nintendo Life,Game Revolution,Multiplayer.it","90,85,85,85,80,80,80,80,77,70,70,70,68"
